ability,description
adaptability,Powers up moves of the same type.
aerilate,Turns Normal-type moves into Flying-type moves.
aftermath,Damages the attacker landing the finishing hit.
analytic,Boosts move power when the Pokémon moves last.
anger point,Maxes Attack after taking a critical hit.
anticipation,Senses a foe's dangerous moves.
arena trap,Prevents the foe from fleeing.
battle armor,The Pokémon is protected against critical hits.
big pecks,Protects the Pokémon from Defense-lowering attacks.
blaze,Powers up Fire-type moves in a pinch.
chlorophyll,Boosts the Pokémon's Speed in sunshine.
clear body,Prevents other Pokémon from lowering its stats.
cloud nine,Eliminates the effects of weather.
competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.
compound eyes,The Pokémon's accuracy is boosted.
cursed body,May disable a move used on the Pokémon.
cute charm,Contact with the Pokémon may cause infatuation.
damp,Prevents the use of self-destructing moves.
defiant,Sharply raises Attack when the Pokémon's stats are lowered.
download,Adjusts power according to a foe's defenses.
drought,Turns the sunlight harsh when the Pokémon enters a battle.
dry skin,Reduces HP if it is hot. Water restores HP.
early bird,The Pokémon awakens quickly from sleep.
effect spore,Contact may poison or cause paralysis or sleep.
filter,Reduces damage from super-effective attacks.
flame body,Contact with the Pokémon may burn the attacker.
flash fire,It powers up Fire-type moves if it's hit by one.
forewarn,Determines what moves a foe has.
friend guard,Reduces damage done to allies.
frisk,The Pokémon can check a foe's held item.
gluttony,Encourages the early use of a held Berry.
guts,Boosts Attack if there is a status problem.
harvest,May create another Berry after one is used.
healer,May heal an ally's status conditions.
hustle,"Boosts the Attack stat, but lowers accuracy."
hydration,Heals status problems if it is raining.
hyper cutter,Prevents other Pokémon from lowering Attack stat.
ice body,The Pokémon gradually regains HP in a hailstorm.
illuminate,Raises the likelihood of meeting wild Pokémon.
immunity,Prevents the Pokémon from getting poisoned.
impostor,It transforms itself into the Pokémon it is facing.
infiltrator,Passes through the foe's barrier and strikes.
inner focus,The Pokémon is protected from flinching.
insomnia,Prevents the Pokémon from falling asleep.
intimidate,Lowers the foe's Attack stat.
iron fist,Boosts the power of punching moves.
justified,Raises Attack when hit by a Dark-type move.
keen eye,Prevents other Pokémon from lowering accuracy.
leaf guard,Prevents problems with status in sunny weather.
levitate,Gives immunity to Ground type moves.
lightning rod,Draws in all Electric-type moves to up Sp. Attack.
limber,The Pokémon is protected from paralysis.
liquid ooze,Damages attackers using any draining move.
magic guard,Protects the Pokémon from indirect damage.
magnet pull,Prevents Steel-type Pokémon from escaping.
marvel scale,Ups Defense if there is a status problem.
mega launcher,Boosts the power of aura and pulse moves.
mold breaker,Moves can be used regardless of Abilities.
moxie,Boosts Attack after knocking out any Pokémon.
multiscale,Reduces damage when HP is full.
natural cure,All status problems heal when it switches out.
neutralizing gas,Neutralizes abilities of all Pokémon in battle.
no guard,Ensures attacks by or against the Pokémon land.
oblivious,Prevents it from becoming infatuated.
overcoat,Protects the Pokémon from weather damage.
overgrow,Powers up Grass-type moves in a pinch.
own tempo,Prevents the Pokémon from becoming confused.
parental bond,Allows the Pokémon to attack twice.
pickup,The Pokémon may pick up items.
poison point,Contact with the Pokémon may poison the attacker.
poison touch,May poison targets when a Pokémon makes contact.
pressure,The Pokémon raises the foe's PP usage.
quick feet,Boosts Speed if there is a status problem.
rain dish,The Pokémon gradually regains HP in rain.
rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
reckless,Powers up moves that have recoil damage.
regenerator,Restores a little HP when withdrawn from battle.
rivalry,Deals more damage to a Pokémon of same gender.
rock head,Protects the Pokémon from recoil damage.
run away,Enables a sure getaway from wild Pokémon.
sand force,Boosts certain moves' power in a sandstorm.
sand rush,Boosts the Pokémon's Speed in a sandstorm.
sand veil,Boosts the Pokémon's evasion in a sandstorm.
scrappy,Enables moves to hit Ghost-type Pokémon.
serene grace,Boosts the likelihood of added effects appearing.
shadow tag,Prevents the foe from escaping.
shed skin,The Pokémon may heal its own status problems.
sheer force,Removes added effects to increase move damage.
shell armor,The Pokémon is protected against critical hits.
shield dust,Blocks the added effects of attacks taken.
skill link,Increases the frequency of multi-strike moves.
sniper,Powers up moves if they become critical hits.
snow cloak,Raises evasion in a hailstorm.
solar power,In sunshine, Sp. Atk is boosted but HP decreases.
soundproof,Gives immunity to sound-based moves.
static,Contact with the Pokémon may cause paralysis.
steadfast,Raises Speed each time the Pokémon flinches.
stench,The stench may cause the target to flinch.
sticky hold,Protects the Pokémon from item theft.
sturdy,It cannot be knocked out with one hit.
swarm,Powers up Bug-type moves in a pinch.
swift swim,Boosts the Pokémon's Speed in rain.
synchronize,Passes a burn, poison, or paralysis to the foe.
tangled feet,Raises evasion if the Pokémon is confused.
technician,Powers up the Pokémon's weaker moves.
thick fat,Ups resistance to Fire- and Ice-type moves.
tinted lens,Powers up “not very effective” moves.
torrent,Powers up Water-type moves in a pinch.
tough claws,Boosts the power of contact moves.
trace,The Pokémon copies a foe's Ability.
unaware,Ignores any stat changes in the Pokémon.
unburden,Raises Speed if a held item is used.
unnerve,Makes the foe nervous and unable to eat Berries.
vital spirit,Prevents the Pokémon from falling asleep.
volt absorb,Restores HP if hit by an Electric-type move.
water absorb,Restores HP if hit by a Water-type move.
water veil,Prevents the Pokémon from getting a burn.
weak armor,Physical attacks lower Defense and raise Speed.
wonder skin,Makes status-changing moves more likely to miss.
