id,entries
1,It can go for days without eating a single morsel. In the bulb on its back it stores energy.
2,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
3,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
4,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
5,Tough fights could excite this Pokémon. When excited it may breathe out bluish-white flames.
6,When this Pokémon expels a blast of superhot fire the red flame at the tip of its tails burns more intensely.
7,Shoots water at prey while in the water. Withdraws into its shell when in danger.
8,When tapped on its head this Pokémon will pull it in but its tail will stick out a little bit.
9,Once it takes aim at its enemy it blasts out water with even more force than a fire hose.
10,If you touch the feeler on top of its head it will release a horrible stink to protect itself.
11,Hardens its shell to protect itself. However a large impact may cause it to pop out of its shell.
12,Its wings covered with poisonous powder repel water. This allows it to fly in the rain.
13,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
14,Able to move only slightly. When endangered it may stick out its stinger and poison its enemy.
15,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,Very docile. If attacked it will often kick up sand to protect itself rather than fight back.
17,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
18,This Pokémon flies at Mach 2 speed seeking prey. Its large talons are feared as wicked weapons.
19,Will chew on anything with its fangs. If you see one you can be certain that 40 more live in the area.
20,Its hind feet are webbed. They act as flippers so it can swim in rivers and hunt for prey.
21,Inept at flying high. However it can fly around very fast to protect its territory.
22,A Pokémon that dates back many years. If it senses danger it flies high and away instantly.
23,The older it gets the longer it grows. At night it wraps its long body around tree branches to rest.
24,The frightening patterns on its belly have been studied. Six variations have been confirmed.
25,This forest-dwelling Pokémon stores electricity in its cheeks so you’ll feel a tingly shock if you touch it.
26,When electricity builds up inside its body it becomes feisty. It also glows in the dark.
27,Its body is dry. When it gets cold at night its hide is said to become coated with a fine dew.
28,It is skilled at slashing enemies with its claws. If broken they start to grow back in a day.
29,A mild-mannered Pokémon that does not like to fight. Beware—its small horn secretes venom.
