id,name,type,type2,height,weight,ability,ability2,ability3,hp,atk,def,spatk,spdef,spe,gender,mega,mega2
1,bulbasaur,grass,poison,0.7,6.9,overgrow,null,chlorophyll,45,49,49,65,65,45,FALSE,FALSE,FALSE
2,ivysaur,grass,poison,1,13,overgrow,null,chlorophyll,60,62,63,80,80,60,FALSE,FALSE,FALSE
3,venusaur,grass,poison,2,100,overgrow,null,chlorophyll,80,82,83,100,100,80,TRUE,TRUE,FALSE
4,charmander,fire,null,0.6,8.5,blaze,null,solar power,39,52,43,60,50,65,FALSE,FALSE,FALSE
5,charmeleon,fire,null,1.1,19,blaze,null,solar power,58,64,58,80,65,80,FALSE,FALSE,FALSE
6,charizard,fire,flying,1.7,90.5,blaze,null,solar power,78,84,78,109,85,100,FALSE,TRUE,TRUE
7,squirtle,water,null,0.5,9,torrent,null,rain dish,44,48,65,50,64,43,FALSE,FALSE,FALSE
8,wartortle,water,null,1,22.5,torrent,null,rain dish,59,63,80,65,80,58,FALSE,FALSE,FALSE
9,blastoise,water,null,1.6,85.5,torrent,null,rain dish,79,83,100,85,105,78,FALSE,TRUE,FALSE
10,caterpie,bug,null,0.3,2.9,shield dust,null,run away,45,30,35,20,20,45,FALSE,FALSE,FALSE
11,metapod,bug,null,0.7,9.9,shed skin,null,null,50,20,55,25,25,30,FALSE,FALSE,FALSE
12,butterfree,bug,flying,1.1,32,compound eyes,null,tinted lens,60,45,50,90,80,70,TRUE,FALSE,FALSE
13,weedle,bug,poison,0.3,3.2,shield dust,null,run away,40,35,30,20,20,50,FALSE,FALSE,FALSE
14,kakuna,bug,poison,0.6,10,shed skin,null,null,45,25,50,25,25,35,FALSE,FALSE,FALSE
15,beedrill,bug,poison,1,29.5,swarm,null,sniper,65,90,40,45,80,75,FALSE,TRUE,FALSE
16,pidgey,normal,flying,0.3,1.8,keen eye,tangled feet,big pecks,40,45,40,35,35,56,FALSE,FALSE,FALSE
17,pidgeotto,normal,flying,1.1,30,keen eye,tangled feet,big pecks,63,60,55,50,50,71,FALSE,FALSE,FALSE
18,pidgeot,normal,flying,1.5,39.5,keen eye,tangled feet,big pecks,83,80,75,70,70,101,FALSE,TRUE,FALSE
19,rattata,normal,null,0.3,3.5,run away,guts,hustle,30,56,35,25,35,72,TRUE,FALSE,FALSE
20,raticate,normal,null,0.7,18.5,run away,guts,hustle,55,81,60,50,70,97,TRUE,FALSE,FALSE
21,spearow,normal,flying,0.3,2,keen eye,null,sniper,40,60,30,31,31,70,FALSE,FALSE,FALSE
22,fearow,normal,flying,1.2,38,keen eye,null,sniper,65,90,65,61,61,100,FALSE,FALSE,FALSE
23,ekans,poison,null,2,6.9,intimidate,shed skin,unnerve,35,60,44,40,54,55,FALSE,FALSE,FALSE
24,arbok,poison,null,3.5,65,intimidate,shed skin,unnerve,60,95,69,65,79,80,FALSE,FALSE,FALSE
25,pikachu,electric,null,0.4,6,static,null,lightning rod,35,55,40,50,50,90,TRUE,FALSE,FALSE
26,raichu,electric,null,0.8,30,static,null,lightning rod,60,90,55,90,80,110,TRUE,FALSE,FALSE
27,sandshrew,ground,null,0.6,12,sand veil,null,sand rush,50,75,85,20,30,40,FALSE,FALSE,FALSE
28,sandslash,ground,null,1,29.5,sand veil,null,sand rush,75,100,110,45,55,65,FALSE,FALSE,FALSE
29,nidoran-f,poison,null,0.4,7,poison point,rivalry,hustle,55,47,52,40,40,41,FALSE,FALSE,FALSE
30,nidorina,poison,null,0.8,20,poison point,rivalry,hustle,70,62,67,55,55,56,FALSE,FALSE,FALSE
31,nidoqueen,poison,ground,1.3,60,poison point,rivalry,sheer force,90,92,87,75,85,76,FALSE,FALSE,FALSE
32,nidoran-m,poison,null,0.5,9,poison point,rivalry,hustle,46,57,40,40,40,50,FALSE,FALSE,FALSE
33,nidorino,poison,null,0.9,19.5,poison point,rivalry,hustle,61,72,57,55,55,65,FALSE,FALSE,FALSE
34,nidoking,poison,ground,1.4,62,poison point,rivalry,sheer force,81,102,77,85,75,85,FALSE,FALSE,FALSE
35,clefairy,fairy,null,0.6,7.5,cute charm,magic guard,friend guard,70,45,48,60,65,35,FALSE,FALSE,FALSE
36,clefable,fairy,null,1.3,40,cute charm,magic guard,unaware,95,70,73,95,90,60,FALSE,FALSE,FALSE
37,vulpix,fire,null,0.6,9.9,flash fire,null,drought,38,41,40,50,65,65,FALSE,FALSE,FALSE,FALSE
38,ninetales,fire,null,1.1,19.9,flash fire,null,drought,73,76,75,81,100,100,FALSE,FALSE,FALSE
39,jigglypuff,normal,fairy,0.5,5.5,cute charm,competitive,friend guard,115,45,20,45,25,20,FALSE,FALSE,FALSE
40,wigglytuff,normal,fairy,1,12,cute charm,competitive,frisk,140,70,45,85,50,45,FALSE,FALSE,FALSE
41,zubat,poison,flying,0.8,7.5,inner focus,null,infiltrator,40,45,35,30,40,55,TRUE,FALSE,FALSE
42,golbat,poison,flying,1.6,55,inner focus,null,infiltrator,75,80,70,65,75,90,TRUE,FALSE,FALSE
43,oddish,grass,poison,0.5,5.4,chlorophyll,null,run away,45,50,55,75,65,30,FALSE,FALSE,FALSE
44,gloom,grass,poison,0.8,8.6,chlorophyll,null,stench,60,65,70,85,75,40,TRUE,FALSE,FALSE
45,vileplume,grass,poison,1.2,18.6,chlorophyll,null,effect spore,75,80,85,110,90,50,TRUE,FALSE,FALSE
46,paras,bug,grass,0.3,5.4,effect spore,dry skin,damp,35,70,55,45,55,25,FALSE,FALSE,FALSE
47,parasect,bug,grass,1,29.5,effect spore,dry skin,damp,60,95,80,60,80,30,FALSE,FALSE,FALSE
48,venonat,bug,poison,1,30,compound eyes,tinted lens,run away,60,55,50,40,55,45,FALSE,FALSE,FALSE
49,venomoth,bug,poison,1.5,12.5,shield dust,tinted lens,wonder skin,70,65,60,90,75,90,FALSE,FALSE,FALSE
50,diglett,ground,null,0.2,0.8,sand veil,arena trap,sand force,10,55,25,35,45,95,FALSE,FALSE,FALSE
51,dugtrio,ground,null,0.7,33.3,sand veil,arena trap,sand force,35,100,50,50,70,120,FALSE,FALSE,FALSE
52,meowth,normal,null,0.4,4.2,pickup,technician,unnerve,40,45,35,40,40,90,FALSE,FALSE,FALSE
53,persian,normal,null,1,32,limber,technician,unnerve,65,70,60,65,65,115,FALSE,FALSE,FALSE
54,psyduck,water,null,0.8,19.6,damp,cloud nine,swift swim,50,52,48,65,50,55,FALSE,FALSE,FALSE
55,golduck,water,null,1.7,76.6,damp,cloud nine,swift swim,80,82,78,95,80,85,FALSE,FALSE,FALSE
56,mankey,fight,null,0.5,28,vital spirit,anger point,defiant,40,80,35,35,45,70,FALSE,FALSE,FALSE
57,primeape,fight,null,1,32,vital spirit,anger point,defiant,65,105,60,60,70,95,FALSE,FALSE,FALSE
58,growlithe,fire,null,0.7,19,intimidate,flash fire,justified,55,70,45,70,50,60,FALSE,FALSE,FALSE
59,arcanine,fire,null,1.9,155,intimidate,flash fire,justified,90,110,80,100,80,95,FALSE,FALSE,FALSE
60,poliwag,water,null,0.6,12.4,water absorb,damp,swift swim,40,50,40,40,40,90,FALSE,FALSE,FALSE
61,poliwhirl,water,null,1,20,water absorb,damp,swift swim,65,65,65,50,50,90,FALSE,FALSE,FALSE
62,poliwrath,water,fight,1.3,54,water absorb,damp,swift swim,90,95,95,70,90,70,FALSE,FALSE,FALSE
63,abra,psychic,null,0.9,19.5,synchronize,inner focus,magic guard,25,20,15,105,55,90,FALSE,FALSE,FALSE
64,kadabra,psychic,null,1.3,56.5,synchronize,inner focus,magic guard,40,35,30,120,70,105,TRUE,FALSE,FALSE
65,alakazam,psychic,null,1.5,48,synchronize,inner focus,magic guard,55,50,45,135,95,120,TRUE,TRUE,FALSE
66,machop,fight,null,0.8,19.5,guts,no guard,steadfast,70,80,50,35,35,35,FALSE,FALSE,FALSE
67,machoke,fight,null,1.5,70.5,guts,no guard,steadfast,80,100,70,50,60,45,FALSE,FALSE,FALSE
68,machamp,fight,null,1.6,130,guts,no guard,steadfast,90,130,80,65,85,55,FALSE,FALSE,FALSE
69,bellsprout,grass,poison,0.7,4,chlorophyll,null,gluttony,50,75,35,70,30,40,FALSE,FALSE,FALSE
70,weepinbell,grass,poison,1,6.4,chlorophyll,null,gluttony,65,90,50,85,45,55,FALSE,FALSE,FALSE
71,victreebel,grass,poison,1.7,15.5,chlorophyll,null,gluttony,80,105,65,100,70,70,FALSE,FALSE,FALSE
72,tentacool,water,poison,0.9,45.5,clear body,liquid ooze,rain dish,40,40,35,50,100,70,FALSE,FALSE,FALSE
73,tentacruel,water,poison,1.6,55,clear body,liquid ooze,rain dish,80,70,65,80,120,100,FALSE,FALSE,FALSE
74,geodude,rock,ground,0.4,20,rock head,sturdy,sand veil,40,80,100,30,30,20,FALSE,FALSE,FALSE
75,graveler,rock,ground,1,105,rock head,sturdy,sand veil,55,95,115,45,45,35,FALSE,FALSE,FALSE
76,golem,rock,ground,1.4,300,rock head,sturdy,sand veil,80,120,130,55,65,45,FALSE,FALSE,FALSE
77,ponyta,fire,null,1,30,run away,flash fire,flame body,50,85,55,65,65,90,FALSE,FALSE,FALSE
78,rapidash,fire,null,1.7,95,run away,flash fire,flame body,65,100,70,80,80,105,FALSE,FALSE,FALSE
79,slowpoke,water,psychic,1.2,36,oblivious,own tempo,regenerator,90,65,65,40,40,15,FALSE,FALSE,FALSE
